Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
0,-30666.789999999994,0.0,52.0,100.0
1,-53701.85000000002,439007.1736823694,66.0,100.0
2,-31112.680000000008,666713.3869977678,32.0,100.0
3,-48587.44000000013,444406.1309375,88.0,99.5149
4,-51056.400000000074,385580.7029194079,75.0,100.0
5,-43686.08999999999,515993.6861979167,29.0,100.0
6,-37662.460000000036,393836.258984375,41.0,100.0
7,-37256.38000000003,564005.81640625,44.0,100.0
8,-27429.82999999999,296992.08948863635,27.0,100.0
9,-31544.229999999985,475334.5379464286,25.0,100.0
10,-39416.22000000001,313509.26964285714,39.0,100.0
11,-64822.10000000001,710475.9638392857,38.0,100.0
12,-61053.0900000001,884319.8292410715,59.0,100.0
13,-35588.230000000076,1062828.23539959,57.0,100.0
14,-43516.75000000001,1732425.0897988505,76.0,100.0
15,-60642.40000000017,4534733.9884375,93.0,99.0249
16,-34715.39999999997,10375186.28164557,77.0,100.0
17,-26165.699999999993,6791777.172619048,45.0,100.0
18,-45464.300000000025,14028896.898305085,60.0,100.0
19,-54386.68000000014,24294046.79,73.0,100.0
20,-37649.790000000015,27435238.341463413,43.0,100.0
21,-42818.10000000006,54514151.787234046,50.0,100.0
22,-23918.370000000035,34687389.8125,35.0,100.0
23,-40973.080000000184,156379972.16,91.0,99.7599
24,-45536.15000000003,252800193.28,49.0,100.0
25,-56468.540000000015,302485928.0,49.0,100.0
26,-45656.440000000184,951425944.8333334,91.0,100.0
27,-35104.19000000001,1905377009.3333333,40.0,100.0
28,-46684.889999999985,1888081074.871795,40.0,100.0
29,-23957.410000000007,3054638580.9454546,54.0,100.0
30,-51407.970000000045,3798727328.680851,48.0,100.0
31,-24879.00999999999,3361173836.108108,42.0,100.0
32,-45382.240000000056,6550646302.814815,57.0,100.0
33,-41507.940000000024,6205073062.787879,35.0,100.0
34,-39198.71,6428365402.947369,41.0,100.0
35,-39737.46000000008,11698142604.8,51.0,100.0
36,-54256.72000000003,14482091039.604939,77.0,100.0
37,-27516.760000000006,24332684905.411766,35.0,100.0
38,-25094.900000000023,23568579545.6,43.0,100.0
39,-33894.64999999998,44333555890.08696,69.0,100.0
40,-38885.31,53477176371.2,43.0,100.0
41,-27809.76999999999,93902046683.42857,33.0,100.0
42,-43499.620000000024,78649766697.67442,45.0,100.0
43,-44945.76000000002,138679601232.31372,53.0,100.0
44,-37801.25000000005,175413961005.17648,68.0,100.0
45,-50384.240000000034,297943084694.58826,35.0,100.0
46,-29965.93999999999,267210392020.1143,40.0,100.0
47,-35764.16,254868601080.24243,66.0,100.0
48,-43455.71,399607826724.5714,52.0,100.0
49,-31140.329999999984,478361747646.51166,76.0,100.0
50,-47329.700000000004,1172696494990.2222,38.0,100.0
51,-29820.969999999998,1000646439594.6666,47.0,100.0
52,-46932.16000000003,1129962955079.68,29.0,100.0
53,-42125.49000000001,912659315175.619,26.0,100.0
54,-48186.530000000064,1978449870595.9385,66.0,100.0
55,-44676.7400000001,2618490801697.2466,77.0,100.0
56,-51338.55000000006,2824282383676.5093,53.0,100.0
57,-24179.999999999978,3314722957994.6665,48.0,100.0
58,-48751.729999999974,5111921243824.873,55.0,100.0
59,-25874.63,7235242671035.733,34.0,100.0
60,-25026.269999999993,8995192628420.086,48.0,100.0
61,-40160.869999999995,14898577132296.828,33.0,100.0
62,-20379.21,15534071101667.555,23.0,100.0
63,-34258.020000000004,15147253534109.957,49.0,100.0
64,-43702.58000000017,28607934368455.41,92.0,100.0
65,-42836.56000000001,67928788243377.234,28.0,100.0
66,-41960.04,71250267290266.22,76.0,100.0
67,-57259.35999999999,106003753588490.23,52.0,100.0
68,-51098.08000000012,148713016299356.16,86.0,99.5149
69,-44074.91000000005,303960929022771.2,43.0,100.0
70,-35112.530000000064,481253873804791.3,57.0,100.0
71,-56645.03000000006,672762906480399.0,49.0,100.0
72,-34604.850000000035,889892159688977.1,62.0,100.0
73,-39482.63000000001,941108317126656.0,34.0,100.0
74,-71598.48999999995,1454908240223085.8,57.0,100.0
75,-38163.670000000035,966276499663342.4,33.0,100.0
76,-40338.710000000014,4177628821870662.5,30.0,100.0
77,-43631.45000000008,2984130264720484.5,54.0,100.0
78,-27205.269999999986,2660654600078572.5,29.0,100.0
79,-31100.780000000006,4973085923014718.0,37.0,100.0
80,-38578.99000000009,5898428543596165.0,50.0,100.0
81,-45234.70000000002,8933615040184816.0,69.0,100.0
82,-36630.76999999999,1.5958249345908736e+16,85.0,100.0
83,-50628.87000000007,2.2232457430256924e+16,73.0,100.0
84,-48729.5,3.81481172045852e+16,43.0,100.0
85,-26944.5,4.859544193537033e+16,46.0,100.0
86,-29304.75,5.474187306040999e+16,24.0,100.0
87,-30151.94000000002,5.139234559268005e+16,33.0,100.0
88,-32683.759999999984,9.36011946623238e+16,29.0,100.0
89,-59557.69000000005,6.638258269602504e+16,48.0,100.0
90,-33908.389999999985,8.341184501199667e+16,52.0,100.0
91,-41764.47000000004,1.2659738212474814e+17,89.0,99.0249
