Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
0,-102019.78463107461,0.0,19.0,100.0
1,-76716.21287257873,0.0,21.0,100.0
2,-66610.89743664816,0.0,22.0,100.0
3,-163812.6172726612,0.0,21.0,100.0
4,-132888.7722543374,0.0,23.0,100.0
5,-56383.78122635179,0.0,21.0,100.0
6,-20890.819194736843,0.0,17.0,100.0
7,-25668.611021277346,0.0,20.0,100.0
8,-30856.9023318292,0.0,20.0,100.0
9,-179066.10801549352,0.0,23.0,99.2699
10,-86491.42501748288,0.0,21.0,100.0
11,-97084.89104946562,0.0,21.0,100.0
12,-86629.6814158646,0.0,21.0,100.0
13,-102322.50467892438,0.0,20.0,100.0
14,-45915.076542544026,0.0,20.0,100.0
15,-117586.95540387135,0.0,23.0,100.0
16,-20799.754796035442,1.3092421732450787,20.0,100.0
17,-51284.30978757811,2.9467679142951964,23.0,100.0
18,-102033.79154507117,0.41642499376427045,21.0,100.0
19,-112897.52175367255,0.27814832289476654,21.0,100.0
20,-31176.550733728527,0.21814107671380042,20.0,100.0
21,-168339.90910112896,0.22510768631671338,21.0,100.0
22,-61153.27520030126,0.18328159408909933,21.0,100.0
23,-36303.703750177956,0.16905454794565836,20.0,100.0
24,-102328.37688451038,0.3162555541310992,21.0,100.0
25,-51153.51948211905,0.36362164974212646,23.0,100.0
26,-143283.74766726018,0.3273262195289135,19.0,100.0
27,-20871.951426695294,0.30442145963509876,20.0,100.0
28,-173437.71417695677,0.4714162933826447,24.0,99.7599
29,-46143.60073607483,0.7028984402616819,22.0,100.0
30,-76871.53030922827,0.770345809062322,22.0,100.0
31,-31132.77132039248,0.9120450507510792,21.0,100.0
32,-26025.456080565484,1.030521029517764,21.0,100.0
33,-138300.24986949848,1.2196385179247176,21.0,100.0
34,-71725.12638291768,1.4027944207191467,20.0,100.0
35,-81701.53942640641,1.5581835905710857,21.0,100.0
36,-158167.61854914017,1.755923412062905,22.0,100.0
37,-86943.60534601103,1.9491874413056807,22.0,100.0
38,-51628.356780123744,2.029921374320984,21.0,100.0
39,-117741.02124720906,2.1756547391414642,21.0,100.0
40,-116814.8682226667,2.3546235279033056,24.0,100.0
41,-76979.28493994141,2.53546195824941,23.0,100.0
42,-132679.0097234792,2.597043968382336,22.0,100.0
43,-61061.34878091498,2.641490774154663,21.0,100.0
44,-92265.86200411642,2.7546495720744133,20.0,100.0
45,-102035.85552718949,2.8306740486260615,20.0,100.0
46,-137713.4558547865,2.901175391674042,20.0,100.0
47,-71642.04196864206,3.000677716347479,24.0,100.0
48,-71456.48971834217,3.1136518584357367,19.0,100.0
49,-46110.70141277867,3.140631685256958,21.0,100.0
50,-97373.0005541608,3.232513066884634,24.0,100.0
51,-102621.20595684316,3.315833178433505,18.0,100.0
52,-45867.08344998565,3.3726816376050315,22.0,100.0
53,-91927.35761615286,3.580148204680412,20.0,100.0
54,-97753.58975284835,3.6277800112059624,20.0,100.0
55,-71892.54132382291,3.6463021210261752,21.0,100.0
56,-113154.4856708583,3.655922624043056,19.0,100.0
57,-40904.351315540924,3.7428898919712412,22.0,100.0
58,-76709.8221367626,3.7785489405355146,22.0,100.0
59,-122135.64962060869,3.8123807845971522,22.0,100.0
60,-25724.985648161855,4.0913100123405455,22.0,100.0
61,-51437.18768536934,3.9547367095947266,18.0,100.0
62,-56610.15605035321,3.9811225290651673,23.0,100.0
63,-56811.13880485469,4.06167095678824,22.0,100.0
64,-50594.55496261048,4.0607629517714185,21.0,100.0
65,-97967.8861013913,4.053088054937475,20.0,100.0
66,-71468.41911318923,4.103209018707275,22.0,100.0
67,-107655.49486573998,4.151185105828678,18.0,100.0
68,-102128.2559450143,4.161606269724229,23.0,100.0
69,-66534.8237396441,4.259899566913473,21.0,100.0
70,-132734.7248073474,4.21225981485276,23.0,100.0
71,-46163.54014366297,4.281631666681041,20.0,100.0
72,-51510.926328353315,4.299974340658921,22.0,100.0
73,-40886.092413383914,4.377112896546073,23.0,100.0
74,-36076.13846960702,4.378954478672573,19.0,100.0
75,-107379.49520211744,4.403179551615859,20.0,100.0
76,-127732.25717203796,4.434955852787669,21.0,100.0
77,-133327.4721094534,4.491652000518072,21.0,100.0
78,-112496.73581527409,4.47161788206834,23.0,100.0
79,-97541.90746200117,4.564427190356785,23.0,100.0
80,-56211.33372415051,4.600503921508789,21.0,100.0
81,-51355.2056531789,4.598893801371257,21.0,100.0
82,-51455.20207067998,4.6283753116925554,19.0,100.0
83,-97569.44656200684,4.644458896973553,22.0,100.0
84,-147687.3997774449,4.684673597646314,22.0,100.0
85,-56638.51037183715,4.64165002822876,19.0,100.0
86,-122917.35562087367,4.733972928462884,21.0,100.0
87,-41235.49070912852,4.77398505418197,22.0,100.0
88,-26024.90742838004,4.763839470712762,19.0,100.0
89,-51504.97520514586,4.740283012390137,22.0,100.0
90,-51302.7213357754,4.754414180914561,20.0,100.0
91,-36383.74391531071,4.832127094268799,19.0,100.0
