Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage,500_MA,14000_16000_MA
0,-98184.03563,0.0,19,100.0,,
1,-75325.50871,0.0,21,100.0,,
2,-64240.68037,0.0,24,100.0,,
3,-161928.465,0.0,20,100.0,,
4,-130385.5584,0.0,21,100.0,,
5,-55162.68398,0.0,20,100.0,,
6,-19069.92186,0.0,20,100.0,,
7,-23900.69866,0.0,24,99.755,,
8,-29183.01974,0.0,23,100.0,,
9,-178467.2107,0.0,24,100.0,,
10,-84742.9835,0.0,22,100.0,,
11,-94455.85824,0.0,20,100.0,,
12,-84416.41432,0.0,19,100.0,,
13,-100632.8573,0.0,22,100.0,,
14,-44565.55924,0.0,22,100.0,,
15,-115813.9812,0.0,24,100.0,,
16,-17038.2783,0.0,23,100.0,,
17,-49318.95929,0.0,20,100.0,,
18,-98713.26591,0.0,21,100.0,,
19,-110840.7851,0.0,21,100.0,,
20,-28764.71559,0.0,16,100.0,,
21,-164754.3395,0.0,22,100.0,,
22,-58703.72373,0.0,23,100.0,,
23,-33856.73071,0.0,20,100.0,,
24,-100182.8937,0.0,20,100.0,,
25,-49898.60907,0.0,21,100.0,,
26,-141727.6247,0.0,21,100.0,,
27,-19310.68075,0.0,21,100.0,,
28,-170836.0735,0.0,22,100.0,,
29,-43563.55115,0.0,22,100.0,,
30,-74188.45302,0.0,23,100.0,,
31,-30573.80996,0.0,23,100.0,,
32,-23761.99388,0.0,21,100.0,,
33,-135383.441,0.0,23,100.0,,
34,-68987.05858,0.0,18,100.0,,
35,-79353.53516,0.0,21,100.0,,
36,-156594.9367,0.0,20,100.0,,
37,-84870.5688,0.0,18,100.0,,
38,-50206.83127,0.0,19,100.0,,
39,-114845.2882,0.0,22,100.0,,
40,-114042.897,0.0,21,100.0,,
41,-74405.00289,0.0,22,100.0,,
42,-131412.022,0.0,23,100.0,,
43,-59245.29737,0.0,20,100.0,,
44,-91291.1004,0.0,21,100.0,,
45,-99827.69241,0.0,22,100.0,,
46,-136018.1808,0.0,23,100.0,,
47,-69320.09781,0.0,23,100.0,,
48,-69166.26128,0.0,21,100.0,,
49,-45457.07352,0.0,22,100.0,,
50,-96358.88502,0.0,23,100.0,,
51,-101184.4114,0.0,21,100.0,,
52,-44519.29994,0.0,19,100.0,,
53,-89656.54194,0.0,20,98.7799,,
54,-96332.18682,0.0,22,100.0,,
55,-68081.92181,0.0,23,100.0,,
56,-110966.8452,0.0,21,100.0,,
57,-39616.18132,0.0,19,100.0,,
58,-74874.35254,0.0,21,100.0,,
59,-119171.5019,0.0,22,100.0,,
60,-22481.34409,0.0,20,100.0,,
61,-48150.64909,0.0,24,99.755,,
62,-54750.04978,0.0,22,100.0,,
63,-54264.1157,0.0,22,100.0,,
64,-47895.21228,0.930434712,20,100.0,,
65,-95461.07067,1.552038388,21,100.0,,
66,-69582.89382,0.51086037,19,100.0,,
67,-104855.3086,0.23210111,19,100.0,,
68,-99503.68619,0.219328317,20,100.0,,
69,-64934.06846,0.218732067,22,100.0,,
70,-131106.7343,0.215489377,23,100.0,,
71,-43370.95155,0.213989116,24,100.0,,
72,-48797.83386,0.207967121,20,100.0,,
73,-39752.8833,0.206261691,20,100.0,,
74,-33711.93388,0.708761721,20,100.0,,
75,-104284.3923,0.306654456,21,100.0,,
76,-124668.9038,0.270116872,22,100.0,,
77,-130058.3218,0.326536395,22,100.0,,
78,-108804.1991,0.353300415,22,100.0,,
79,-95280.41591,0.377600292,23,100.0,,
80,-53873.00722,0.383650288,19,100.0,,
81,-48526.89668,0.408364361,19,100.0,,
82,-49793.309,1.644830784,18,100.0,,
83,-96883.37174,1.921843639,23,100.0,,
84,-145859.7636,1.941724281,22,100.0,,
85,-54193.85463,1.951370534,20,100.0,,
86,-122198.7871,1.961612985,22,100.0,,
87,-37546.36861,1.970617087,24,100.0,,
88,-23666.70334,1.997262374,21,100.0,,
89,-48040.22407,2.023886632,18,100.0,,
90,-49491.9979,2.074895172,21,100.0,,
91,-33804.98685,2.127543825,23,100.0,,
92,-126278.2208,2.142386317,23,100.0,,
93,-48873.83512,2.144369593,22,100.0,,
94,-79844.98118,2.15976327,23,100.0,,
95,-63227.49333,2.178546238,18,100.0,,
96,-141838.1377,2.236809038,18,100.0,,
97,-24026.90294,2.289138168,22,100.0,,
98,-104589.0726,2.309831553,21,100.0,,
99,-65061.63898,2.291922605,18,100.0,,
100,-94880.63062,2.326712644,20,100.0,,
101,-65317.45364,2.384032602,21,99.2699,,
102,-95537.60788,2.407077688,23,100.0,,
103,-81280.86428,2.401090873,20,100.0,,
104,-14793.0033,2.450666241,20,100.0,,
105,-43166.493,2.432570832,22,100.0,,
106,-67589.34082,2.418660987,21,100.0,,
107,-59113.92576,2.435820234,20,100.0,,
108,-63253.21061,2.432660799,18,100.0,,
109,-70558.81225,2.446149459,22,100.0,,
110,-28843.25113,2.468755879,19,100.0,,
111,-115367.5098,2.457200483,21,100.0,,
112,-136763.3401,2.490766962,21,100.0,,
113,-38365.48475,2.550102848,22,100.0,,
114,-64551.0348,2.57876211,20,100.0,,
115,-81240.16858,2.577549295,19,97.7849,,
116,-33634.14913,2.595002553,21,100.0,,
117,-47899.08261,2.611067885,22,100.0,,
118,-91071.02012,2.584784737,23,100.0,,
119,-83291.3494,2.633961015,24,99.7599,,
120,-105018.0811,2.646992911,21,100.0,,
121,-145849.0136,2.656939983,23,100.0,,
122,-40252.06333,2.681494273,18,100.0,,
123,-48041.05438,2.702507641,24,100.0,,
124,-33617.28965,2.691605157,22,100.0,,
125,-29407.02354,2.737027364,22,100.0,,
126,-23714.4644,2.721986539,20,100.0,,
127,-179375.5665,2.722591579,20,100.0,,
128,-138995.6262,2.716501887,22,100.0,,
129,-34279.3115,2.789301668,19,100.0,,
130,-110219.6288,2.753542223,22,100.0,,
131,-79918.23474,2.809242249,20,100.0,,
132,-64765.34569,2.793332023,23,100.0,,
133,-155098.9461,2.830293634,21,100.0,,
134,-29472.08859,2.85371191,20,100.0,,
135,-69594.25293,2.850859009,21,100.0,,
136,-28781.61472,2.874364936,23,100.0,,
137,-80377.46446,2.875846927,19,100.0,,
138,-79031.18793,2.852337813,21,100.0,,
139,-111392.7008,2.883995878,22,100.0,,
140,-96113.51912,2.902815254,20,100.0,,
141,-57959.22386,2.948692181,19,100.0,,
142,-74282.13859,2.889918057,23,100.0,,
143,-99463.1144,2.914902033,22,100.0,,
144,-105043.688,2.938063087,18,100.0,,
145,-76177.55939,2.899318792,21,100.0,,
146,-122001.1561,3.019350358,23,100.0,,
147,-38479.50057,3.146164187,21,100.0,,
148,-54657.08344,3.128248379,19,100.0,,
149,-45397.8579,3.005687325,24,100.0,,
150,-33864.01843,3.120476024,19,100.0,,
151,-64112.85465,3.072359218,19,100.0,,
152,-44329.61066,3.052346954,18,100.0,,
153,-53645.70233,3.172768374,21,100.0,,
154,-89759.22333,3.145426468,21,100.0,,
155,-54733.17141,3.207485215,20,100.0,,
156,-101621.7661,3.125233585,19,100.0,,
157,-29534.4709,3.138333703,23,100.0,,
158,-64345.15003,3.163548019,19,100.0,,
159,-129920.8938,3.137623436,19,100.0,,
160,-98902.37904,3.214457454,23,100.0,,
161,-135421.6827,3.300053537,20,100.0,,
162,-120313.5221,3.226490658,20,100.0,,
163,-106305.6944,3.296063315,22,100.0,,
164,-185767.0152,3.265170426,20,100.0,,
165,-74482.12855,3.231678522,20,100.0,,
166,-85359.06036,3.326299302,21,100.0,,
167,-80963.01273,3.328129542,21,100.0,,
168,-131470.2841,3.313389393,18,100.0,,
169,-43505.42553,3.261259499,24,99.755,,
170,-74248.51803,3.333049602,21,100.0,,
171,-106085.8941,3.272442469,20,100.0,,
172,-74346.40947,3.368895084,23,100.0,,
173,-155162.5615,3.339104668,21,100.0,,
174,-43452.90336,3.314107208,19,100.0,,
175,-127351.4884,3.406716158,23,100.0,,
176,-40533.8989,3.331887501,23,100.0,,
177,-54463.26789,3.302846183,22,100.0,,
178,-48506.20075,3.384754524,22,100.0,,
179,-120167.9171,3.368266475,22,100.0,,
180,-44654.70866,3.331387634,21,100.0,,
181,-135238.7201,3.378281443,21,100.0,,
182,-54355.22122,3.406797171,20,100.0,,
183,-126204.8509,3.373746239,20,100.0,,
184,-70391.49038,3.354404839,17,100.0,,
185,-17314.74481,3.383134493,21,100.0,,
186,-180547.9592,3.355657995,21,100.0,,
187,-53147.22691,3.430821427,22,100.0,,
188,-80385.87877,3.393925577,21,100.0,,
189,-64183.56369,3.373595732,20,100.0,,
190,-37254.16898,3.438703631,21,100.0,,
191,-24578.46948,3.384385819,22,100.0,,
192,-76085.99928,3.443655107,23,100.0,,
193,-81047.78352,3.356902556,17,100.0,,
194,-43002.17829,3.407379373,19,100.0,,
195,-59887.71786,3.430346739,21,100.0,,
196,-43930.98901,3.44060777,19,100.0,,
197,-64005.90588,3.360571262,20,100.0,,
198,-34968.12106,3.333298377,21,100.0,,
199,-58963.40349,3.39588725,20,100.0,,
200,-119546.8207,3.386019528,21,100.0,,
201,-58009.68706,3.375974013,21,100.0,,
202,-64685.93963,3.443652519,21,100.0,,
203,-37755.99345,3.402730389,22,100.0,,
204,-89416.6309,3.440232246,21,100.0,,
205,-33054.9753,3.451269191,21,100.0,,
206,-116079.4999,3.466285014,22,100.0,,
207,-38448.27226,3.524629749,18,100.0,,
208,-33723.11082,3.479239596,23,100.0,,
209,-58621.96632,3.473738437,20,100.0,,
210,-33936.3722,3.503153778,18,100.0,,
211,-126555.4966,3.448827642,21,100.0,,
212,-95741.7063,3.444017539,21,100.0,,
213,-58080.00733,3.447615257,22,100.0,,
214,-30398.86859,3.463441543,20,100.0,,
215,-167593.4588,3.524339342,20,100.0,,
216,-90187.16883,3.529409451,22,100.0,,
217,-24158.08857,3.442026698,23,100.0,,
218,-88501.51242,3.481445356,24,100.0,,
219,-17851.63284,3.432627029,20,100.0,,
220,-64061.9281,3.520162312,20,100.0,,
221,-45320.61744,3.428983152,21,100.0,,
222,-72838.46788,3.501367684,22,100.0,,
223,-48316.71189,3.595549248,22,100.0,,
